"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","ModeWithoutHardLink","VersionInfo","BaseName","Target","LinkType","Length","DirectoryName","Directory","IsReadOnly","FullName","Extension","Name","Exists","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","LinkTarget","Attributes"
"Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\12831\12831-1.webp","Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\12831","12831-1.webp","D","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             D:\BID\InServer\12831\12831-1.webp
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","12831-1",,,"38190","D:\BID\InServer\12831","D:\BID\InServer\12831","False","D:\BID\InServer\12831\12831-1.webp",".webp","12831-1.webp","True","2022-07-23 오후 5:57:36","2022-07-23 오전 8:57:36","2022-07-23 오후 5:57:36","2022-07-23 오전 8:57:36","2022-06-15 오후 6:04:18","2022-06-15 오전 9:04:18",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\12831\12831-2.webp","Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\12831","12831-2.webp","D","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             D:\BID\InServer\12831\12831-2.webp
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","12831-2",,,"81142","D:\BID\InServer\12831","D:\BID\InServer\12831","False","D:\BID\InServer\12831\12831-2.webp",".webp","12831-2.webp","True","2022-07-23 오후 5:57:36","2022-07-23 오전 8:57:36","2022-07-23 오후 5:57:36","2022-07-23 오전 8:57:36","2022-06-15 오후 6:28:52","2022-06-15 오전 9:28:52",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\12831\12831-3.webp","Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\12831","12831-3.webp","D","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             D:\BID\InServer\12831\12831-3.webp
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","12831-3",,,"36090","D:\BID\InServer\12831","D:\BID\InServer\12831","False","D:\BID\InServer\12831\12831-3.webp",".webp","12831-3.webp","True","2022-07-23 오후 5:57:36","2022-07-23 오전 8:57:36","2022-07-23 오후 5:57:36","2022-07-23 오전 8:57:36","2022-06-15 오후 6:18:08","2022-06-15 오전 9:18:08",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\12831\12831-4.webp","Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\12831","12831-4.webp","D","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             D:\BID\InServer\12831\12831-4.webp
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","12831-4",,,"38928","D:\BID\InServer\12831","D:\BID\InServer\12831","False","D:\BID\InServer\12831\12831-4.webp",".webp","12831-4.webp","True","2022-07-23 오후 5:57:36","2022-07-23 오전 8:57:36","2022-07-23 오후 5:57:36","2022-07-23 오전 8:57:36","2022-06-20 오후 2:38:32","2022-06-20 오전 5:38:32",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\24857\24857-1.webp","Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\24857","24857-1.webp","D","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             D:\BID\InServer\24857\24857-1.webp
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","24857-1",,,"15660","D:\BID\InServer\24857","D:\BID\InServer\24857","False","D:\BID\InServer\24857\24857-1.webp",".webp","24857-1.webp","True","2022-07-23 오후 4:49:15","2022-07-23 오전 7:49:15","2022-07-23 오후 4:49:15","2022-07-23 오전 7:49:15","2022-02-20 오후 4:49:00","2022-02-20 오전 7:49:00",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\24859\24859-1.webp","Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\24859","24859-1.webp","D","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             D:\BID\InServer\24859\24859-1.webp
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","24859-1",,,"26648","D:\BID\InServer\24859","D:\BID\InServer\24859","False","D:\BID\InServer\24859\24859-1.webp",".webp","24859-1.webp","True","2022-07-23 오후 4:49:15","2022-07-23 오전 7:49:15","2022-07-23 오후 4:49:15","2022-07-23 오전 7:49:15","2022-07-09 오후 10:08:24","2022-07-09 오후 1:08:24",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\25632\25632-1.webp","Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\25632","25632-1.webp","D","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             D:\BID\InServer\25632\25632-1.webp
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","25632-1",,,"43164","D:\BID\InServer\25632","D:\BID\InServer\25632","False","D:\BID\InServer\25632\25632-1.webp",".webp","25632-1.webp","True","2022-07-23 오후 5:57:36","2022-07-23 오전 8:57:36","2022-07-23 오후 5:57:36","2022-07-23 오전 8:57:36","2022-07-23 오후 4:20:16","2022-07-23 오전 7:20:16",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\27549\27549-1.webp","Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\27549","27549-1.webp","D","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             D:\BID\InServer\27549\27549-1.webp
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","27549-1",,,"10038","D:\BID\InServer\27549","D:\BID\InServer\27549","False","D:\BID\InServer\27549\27549-1.webp",".webp","27549-1.webp","True","2022-07-23 오후 5:57:36","2022-07-23 오전 8:57:36","2022-07-23 오후 5:57:36","2022-07-23 오전 8:57:36","2022-07-09 오전 10:07:50","2022-07-09 오전 1:07:50",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\28029\28029-1.webp","Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\28029","28029-1.webp","D","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             D:\BID\InServer\28029\28029-1.webp
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","28029-1",,,"120078","D:\BID\InServer\28029","D:\BID\InServer\28029","False","D:\BID\InServer\28029\28029-1.webp",".webp","28029-1.webp","True","2022-07-23 오후 5:57:36","2022-07-23 오전 8:57:36","2022-07-23 오후 5:57:36","2022-07-23 오전 8:57:36","2022-02-17 오후 3:08:42","2022-02-17 오전 6:08:42",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\28029\28029-2.webp","Microsoft.PowerShell.Core\FileSystem::D:\BID\InServer\28029","28029-2.webp","D","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             D:\BID\InServer\28029\28029-2.webp
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","28029-2",,,"55850","D:\BID\InServer\28029","D:\BID\InServer\28029","False","D:\BID\InServer\28029\28029-2.webp",".webp","28029-2.webp","True","2022-07-23 오후 5:57:36","2022-07-23 오전 8:57:36","2022-07-23 오후 5:57:36","2022-07-23 오전 8:57:36","2022-06-20 오후 2:33:36","2022-06-20 오전 5:33:36",,"Archive"
